query,calls,total_exec_time,mean_exec_time,rows
"-- ---------------------------------------------------------
-- 1) trainer_memberships: Alle Policies entfernen (namenunabhängig)
--    und minimal, nicht-rekursiv neu erstellen.
--    WICHTIG: KEINE Referenzen auf games/players/etc.
-- ---------------------------------------------------------
DO $$
DECLARE pol record;
BEGIN
  FOR pol IN
    SELECT policyname
    FROM pg_policies
    WHERE schemaname = 'public' AND tablename = 'trainer_memberships'
  LOOP
    EXECUTE format('DROP POLICY IF EXISTS %I ON public.trainer_memberships;', pol.policyname);
  END LOOP;
END$$",1,11.407946,11.407946,0
"-- SELECT: Spielende und Trainer*in desselben Spiels dürfen lesen
CREATE POLICY th_select_member_or_trainer ON public.trainer_hints
  FOR SELECT TO authenticated
  USING (
    EXISTS (SELECT 1 FROM public.players p WHERE p.game_id = trainer_hints.game_id AND p.user_id = auth.uid())
    OR EXISTS (SELECT 1 FROM public.trainer_memberships t WHERE t.game_id = trainer_hints.game_id AND t.user_id = auth.uid())
  )",4,11.215885,2.80397125,0
"-- ============================================================================
-- 9) RLS-Policies — zirkelfrei & robust
--    Wir entfernen ALLE Policies auf den Kern-Tabellen und legen neu an.
-- ============================================================================
-- trainer_memberships
DO $$
DECLARE pol record;
BEGIN
  IF to_regclass('public.trainer_memberships') IS NOT NULL THEN
    ALTER TABLE public.trainer_memberships ENABLE ROW LEVEL SECURITY;

    FOR pol IN
      SELECT policyname FROM pg_policies
      WHERE schemaname='public' AND tablename='trainer_memberships'
    LOOP
      EXECUTE format('DROP POLICY IF EXISTS %I ON public.trainer_memberships;', pol.policyname);
    END LOOP;

    -- Unique-Index & Policies ohne Fremdtabellen (keine Rekursion)
    CREATE UNIQUE INDEX IF NOT EXISTS trainer_memberships_game_user_uidx
      ON public.trainer_memberships(game_id, user_id);

    CREATE POLICY tm_select_self ON public.trainer_memberships
      FOR SELECT USING (user_id = auth.uid());

    CREATE POLICY tm_insert_self ON public.trainer_memberships
      FOR INSERT WITH CHECK (user_id = auth.uid());

    CREATE POLICY tm_update_self ON public.trainer_memberships
      FOR UPDATE USING (user_id = auth.uid()) WITH CHECK (user_id = auth.uid());

    CREATE POLICY tm_delete_self ON public.trainer_memberships
      FOR DELETE USING (user_id = auth.uid());
  END IF;
END$$",1,10.675357,10.675357,0
"create policy tm_select_own
  on public.trainer_memberships
  for select
  to authenticated
  using (user_id = auth.uid())",2,9.062544,4.531272,0
"create index if not exists trainer_memberships_game_user_idx on public.trainer_memberships (game_id, user_id)",2,8.677154,4.338577,0
"CREATE POLICY players_select_self_or_trainer ON players
FOR SELECT
USING (
  user_id = auth.uid()
  OR EXISTS (
    SELECT 1 FROM trainer_memberships tm
    WHERE tm.user_id = auth.uid()
  )
)",3,8.417642,2.80588066666667,0
"-- 1) Überblick
select
  (select count(*) from public.games) as games,
  (select count(*) from public.players) as players,
  (select count(*) from public.trainer_memberships) as trainer_memberships",1,7.44147,7.44147,1
"-- games
DO $$
DECLARE pol record;
BEGIN
  IF to_regclass('public.games') IS NOT NULL THEN
    ALTER TABLE public.games ENABLE ROW LEVEL SECURITY;
    FOR pol IN SELECT policyname FROM pg_policies WHERE schemaname='public' AND tablename='games'
    LOOP EXECUTE format('DROP POLICY IF EXISTS %I ON public.games;', pol.policyname); END LOOP;

    CREATE POLICY games_select_lobby_any ON public.games
      FOR SELECT TO anon, authenticated
      USING (state = 'lobby');

    CREATE POLICY games_select_creator_member_trainer ON public.games
      FOR SELECT
      USING (
        created_by = auth.uid()
        OR EXISTS (SELECT 1 FROM public.players              p  WHERE p.game_id = games.id AND p.user_id = auth.uid())
        OR EXISTS (SELECT 1 FROM public.trainer_memberships tm WHERE tm.game_id = games.id AND tm.user_id = auth.uid())
        OR state = 'lobby'
      );

    CREATE POLICY games_insert_self ON public.games
      FOR INSERT WITH CHECK (created_by = auth.uid());

    CREATE POLICY games_update_creator ON public.games
      FOR UPDATE USING (created_by = auth.uid()) WITH CHECK (created_by = auth.uid());
  END IF;
END$$",1,6.443603,6.443603,0
"-- 9) RLS — zirkelfrei
-- trainer_memberships
DO $$
DECLARE pol record;
BEGIN
  IF to_regclass('public.trainer_memberships') IS NOT NULL THEN
    ALTER TABLE public.trainer_memberships ENABLE ROW LEVEL SECURITY;
    FOR pol IN SELECT policyname FROM pg_policies WHERE schemaname='public' AND tablename='trainer_memberships'
    LOOP EXECUTE format('DROP POLICY IF EXISTS %I ON public.trainer_memberships;', pol.policyname); END LOOP;

    CREATE UNIQUE INDEX IF NOT EXISTS trainer_memberships_game_user_uidx
      ON public.trainer_memberships(game_id, user_id);

    CREATE POLICY tm_select_self ON public.trainer_memberships
      FOR SELECT USING (user_id = auth.uid());
    CREATE POLICY tm_insert_self ON public.trainer_memberships
      FOR INSERT WITH CHECK (user_id = auth.uid());
    CREATE POLICY tm_update_self ON public.trainer_memberships
      FOR UPDATE USING (user_id = auth.uid()) WITH CHECK (user_id = auth.uid());
    CREATE POLICY tm_delete_self ON public.trainer_memberships
      FOR DELETE USING (user_id = auth.uid());
  END IF;
END$$",1,5.63583,5.63583,0
"-- Trainer memberships lookup
CREATE INDEX IF NOT EXISTS idx_trainer_memberships_user 
ON trainer_memberships(user_id)",1,4.643083,4.643083,0
